timestamp,tipo,nodo_id,campo1,temperatura,humedad,campo4,campo5
2026-06-02T19:24:46.391881,t,1,2.689963,22.36366,66.97559,164601.7,2975.681
2026-06-02T19:25:32.571630,t,1,2.678681,22.34993,66.10976,164607.6,2977.25
2026-06-02T19:26:18.768897,t,1,2.710916,22.32971,66.26311,164609.9,2974.977
2026-06-02T19:27:04.977144,t,1,2.670623,22.31617,66.00723,164604.7,2972.866
2026-06-02T19:27:51.191675,t,1,2.67707,22.31426,65.6332,164606,2968.292
2026-06-02T19:28:37.404485,t,1,2.665787,22.3156,66.27541,164606.4,2966.316
2026-06-02T19:29:23.604145,t,1,2.69641,22.30968,65.769,164604.7,2968.238
2026-06-02T19:30:09.823399,t,1,2.67707,22.31522,66.0181,164604.7,2967.073
2026-06-02T19:30:56.025259,t,1,2.673846,22.32151,66.15009,164601.6,2962.662
2026-06-02T19:31:42.249620,t,1,2.69641,22.33162,66.17632,164600.6,2963.122
2026-06-02T19:32:28.449256,t,1,2.662564,22.3877,66.5369,164601.1,2963.095
2026-06-02T19:33:14.652649,t,1,2.667399,22.35889,66.36372,164600.4,2960.063
2026-06-02T19:34:00.860675,t,1,2.64967,24.33643,99.99991,164596.4,2953.161
2026-06-02T19:34:47.084959,t,1,2.641612,25.8728,99.99991,164598.1,2956.166
2026-06-02T19:35:33.314427,t,1,2.648059,26.81808,99.99991,164600.2,2955.679
2026-06-02T19:36:19.534879,t,1,2.664176,24.87164,89.7811,164603.7,2955.489
2026-06-02T19:37:05.763931,t,1,2.667399,24.42551,74.92332,164599.8,2957.113
2026-06-02T19:37:51.989390,t,1,2.656117,23.97709,67.21706,164597.1,2961.958
2026-06-02T19:38:38.232719,t,1,2.662564,23.62747,65.14797,164596.9,2954.704
2026-06-02T19:39:24.456308,t,1,2.656117,23.38581,65.07559,164600.7,2955.137
2026-06-02T19:40:10.691571,t,1,2.635165,23.17085,64.79931,164597.7,2960.063
2026-06-02T19:40:56.906566,t,1,2.628718,23.01083,65.4789,164595.9,2956.491
2026-06-02T19:41:43.127977,t,1,2.635165,22.88666,66.04671,164594,2954.515
2026-06-02T19:42:29.351250,t,1,2.651282,22.7911,66.21437,164596.6,2955.246
2026-06-02T19:43:15.569755,t,1,2.628718,22.70489,66.25624,164591.3,2953.513
2026-06-02T19:44:01.780405,t,1,2.643224,22.61448,66.46118,164596.2,2948.533
2026-06-02T19:44:48.000041,t,1,2.635165,22.56603,66.36181,164592.5,2949.264
2026-06-02T19:45:34.234478,t,1,2.638388,22.52464,66.72459,164589.8,2945.718
2026-06-02T19:46:20.460501,t,1,2.628718,22.49088,66.52116,164593,2951.402
2026-06-02T19:47:00.993614,t,1,2.643224,22.47353,66.50038,164592.2,2947.099
2026-06-02T19:47:47.223201,t,1,2.609377,22.45445,66.65849,164590.9,2952.079
2026-06-02T19:48:33.450585,t,1,2.620659,22.42661,66.45326,164581.9,2949.237
2026-06-02T19:49:19.657286,t,1,2.615824,22.41802,66.97549,164587,2948.344
2026-06-02T19:50:05.861370,t,1,2.617436,22.40734,66.72545,164582.6,2943.878
2026-06-02T19:50:52.085596,t,1,2.64,22.39189,66.62512,164584.5,2945.204
2026-06-02T19:51:38.322389,t,1,2.635165,22.36805,66.47587,164584,2942.01
2026-06-02T19:52:24.555145,t,1,2.635165,22.36233,66.77751,164581.7,2943.796
