timestamp,nodo_id,temp_exterior_C,hum_exterior_pct,campo_4,campo_5,campo_6
2026-06-02T20:15:13.523420,1,2.573919,22.88094,65.01465,164965.5,3149.149
2026-06-02T20:15:59.726739,1,2.569084,22.86167,64.46514,165003.8,3090.009
2026-06-02T20:16:45.913676,1,2.565861,22.82848,65.26337,164998.3,3093.663
2026-06-02T20:17:32.113886,1,2.543297,22.82753,66.16402,165002.5,3098.508
2026-06-02T20:18:18.335857,1,2.54652,22.82391,65.25726,165013.7,3087.411
2026-06-02T20:19:04.554581,1,2.532015,22.82448,64.88323,165015.6,3089.116
2026-06-02T20:19:50.752844,1,2.564249,22.81952,64.61792,165003.7,3101.323
2026-06-02T20:20:36.982094,1,2.551355,22.82162,65.52077,165010.9,3099.104
2026-06-02T20:21:23.194729,1,2.53685,22.71347,64.35356,164996.8,3103.082
2026-06-02T20:22:09.408607,1,2.557802,22.66331,63.38406,165007.3,3095.206
2026-06-02T20:22:55.644943,1,2.543297,22.62573,64.14719,165005.8,3096.992
2026-06-02T20:23:41.855530,1,2.564249,22.59026,64.46886,165010.1,3098.643
2026-06-02T20:24:28.057317,1,2.551355,22.57099,64.85052,165003.1,3072.551
2026-06-02T20:25:14.272716,1,2.564249,22.52693,64.7768,164997.8,3076.097
2026-06-02T20:26:00.476659,1,2.564249,22.51968,64.24999,164993.9,3067.057
2026-06-02T20:26:46.707810,1,2.561026,22.51148,64.63928,164999,3074.419
2026-06-02T20:27:32.948012,1,2.549744,22.5174,64.92367,164997.3,3063.619
2026-06-02T20:28:19.134845,1,2.533626,22.48497,64.64606,164998.5,3054.173
2026-06-02T20:29:05.368819,1,2.533626,22.46304,64.68201,164995.5,3051.304
2026-06-02T20:29:51.572661,1,2.538461,22.45121,64.34536,164996.4,3054.2
2026-06-02T20:30:37.770256,1,2.540073,22.43023,65.29359,164994.6,3045.214
2026-06-02T20:31:23.996843,1,2.538461,22.42527,65.01608,164990.9,3058.369
2026-06-02T20:32:10.214472,1,2.544909,22.38178,65.07339,164986.2,3060.344
2026-06-02T20:32:56.425827,1,2.533626,22.365,64.69087,164989.3,3053.984
2026-06-02T20:33:42.632695,1,2.538461,22.3402,66.646,164987.4,3052.116
2026-06-02T20:34:28.831636,1,2.525568,22.30835,66.34683,164990.5,3053.497
2026-06-02T20:35:15.054662,1,2.50945,22.36938,65.5632,164988.5,3049.301
2026-06-02T20:36:01.270304,1,2.535238,22.34173,65.43217,164984.7,3046.649
2026-06-02T20:36:47.504182,1,2.525568,22.45579,66.09926,164999.7,3051.575
2026-06-02T20:37:33.736978,1,2.538461,22.48688,65.07025,165005.1,3069.763
2026-06-02T20:38:19.938523,1,2.519121,22.53513,65.97176,164988.6,3189.668
2026-06-02T20:39:06.154072,1,2.50945,22.56298,65.68442,164960.8,3211.402
2026-06-02T20:39:52.382983,1,2.506227,22.59483,64.86635,164963.4,3047.298
2026-06-02T20:40:38.623715,1,2.50945,22.58739,65.3924,164954,3064.377
2026-06-02T20:41:24.839146,1,2.493333,22.56069,64.79702,164947.8,3026.755
2026-06-02T20:42:11.042472,1,2.523956,22.51778,65.67879,164947.9,2998.092
2026-06-02T20:42:57.251039,1,2.525568,22.48535,65.10744,164938.7,2952.918
