timestamp,nodo_id,temp_exterior_C,hum_exterior_pct,campo_4,campo_5,campo_6
2026-06-02T19:52:57.082346,1,2.619048,22.3526,66.95242,164584.6,2940.143
2026-06-02T19:53:43.304819,1,2.60293,22.34249,66.55293,164578.7,2935.568
2026-06-02T19:54:29.519049,1,2.598095,22.33105,66.67014,164578.2,2938.491
2026-06-02T19:55:15.749201,1,2.612601,22.34497,66.67242,164576.2,2939.168
2026-06-02T19:56:13.850720,1,2.609377,22.31617,66.81175,164576.4,2936.84
2026-06-02T19:57:00.055662,1,2.620659,22.28432,66.50429,164573.4,2937.436
2026-06-02T19:57:46.290717,1,2.622271,22.30186,66.39824,164574.5,2941.956
2026-06-02T19:58:32.490597,1,2.59326,22.29919,66.40997,164577.5,2936.57
2026-06-02T19:59:18.698521,1,2.598095,22.31293,65.76538,164573,2936.137
2026-06-02T20:00:04.917558,1,2.577143,22.33715,65.99083,164568,2933.078
2026-06-02T20:00:51.139997,1,2.59326,22.38636,66.44296,164571.5,2928.91
2026-06-02T20:01:37.335698,1,2.577143,22.48955,75.18835,164512,2932.808
2026-06-02T20:02:23.553884,1,2.570696,22.61944,67.79013,164525,2920.249
2026-06-02T20:03:09.770907,1,2.614213,22.78919,66.87193,164530.3,2922.982
2026-06-02T20:03:55.989856,1,2.591648,22.88094,66.54501,164523,2925.933
2026-06-02T20:04:42.216917,1,2.570696,22.99271,65.27948,164957.6,3029.949
2026-06-02T20:05:12.731000,1,2.601319,23.09895,64.57767,164974,1969.406
2026-06-02T20:05:58.916699,1,2.577143,23.19012,64.71367,164948.1,3021.26
2026-06-02T20:06:45.129427,1,2.596483,23.23017,64.8076,164941.1,3038.827
2026-06-02T20:07:31.356728,1,2.572308,23.106,64.92023,164938.4,2951.158
2026-06-02T20:08:17.574191,1,2.586813,22.92385,65.17754,164938,2759.583
2026-06-02T20:09:03.782473,1,2.573919,22.76039,65.85617,164933.8,2722.501
2026-06-02T20:09:49.987621,1,2.590037,22.64004,66.4341,164932,3050.817
2026-06-02T20:10:36.193204,1,2.572308,22.51873,66.76311,164928.6,3076.07
2026-06-02T20:11:22.388993,1,2.588425,22.45121,67.23738,164920.3,3088.115
2026-06-02T20:12:08.606886,1,2.577143,22.38922,67.25053,164914,3091.958
2026-06-02T20:12:54.827577,1,2.573919,22.37682,67.81883,164912.6,3087.221
2026-06-02T20:13:41.061224,1,2.567472,22.72301,66.82539,164917.7,3082.512
2026-06-02T20:14:27.297738,1,2.570696,22.85442,65.21979,164834.9,3121.244
